
nor2x1 - cell_rise (ns)
1.5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000

maj3x1 - cell_rise (ns)
Slew \ Load,0.0005,0.0013,0.0035,0.0094,0.0249,0.0662,0.1758
0.01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.0231,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.0531,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.1225,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.2823,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.6507,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000

maj3x1 - cell_fall (ns)
Slew \ Load,0.0005,0.0013,0.0035,0.0094,0.0249,0.0662,0.1758
0.01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.0231,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.0531,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.1225,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.2823,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.6507,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000

maj3x1 - rise_transition (ns)
Slew \ Load,0.0005,0.0013,0.0035,0.0094,0.0249,0.0662,0.1758
0.01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.0231,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.0531,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.1225,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.2823,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.6507,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000

maj3x1 - fall_transition (ns)
Slew \ Load,0.0005,0.0013,0.0035,0.0094,0.0249,0.0662,0.1758
0.01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.0231,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.0531,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.1225,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.2823,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.6507,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000

maj3x2 - cell_rise (ns)
Slew \ Load,0.0005,0.0013,0.0035,0.0094,0.0249,0.0662,0.1758
0.01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.0231,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.0531,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.1225,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.2823,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.6507,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000

maj3x2 - cell_fall (ns)
Slew \ Load,0.0005,0.0013,0.0035,0.0094,0.0249,0.0662,0.1758
0.01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.0231,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.0531,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.1225,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.2823,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.6507,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000

maj3x2 - rise_transition (ns)
Slew \ Load,0.0005,0.0013,0.0035,0.0094,0.0249,0.0662,0.1758
0.01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.0231,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.0531,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.1225,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.2823,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.6507,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000

maj3x2 - fall_transition (ns)
Slew \ Load,0.0005,0.0013,0.0035,0.0094,0.0249,0.0662,0.1758
0.01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.0231,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.0531,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.1225,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.2823,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.6507,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000

maj3x4 - cell_rise (ns)
Slew \ Load,0.0005,0.0013,0.0035,0.0094,0.0249,0.0662,0.1758
0.01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.0231,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.0531,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.1225,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.2823,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.6507,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000

maj3x4 - cell_fall (ns)
Slew \ Load,0.0005,0.0013,0.0035,0.0094,0.0249,0.0662,0.1758
0.01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.0231,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.0531,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.1225,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.2823,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.6507,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000

maj3x4 - rise_transition (ns)
Slew \ Load,0.0005,0.0013,0.0035,0.0094,0.0249,0.0662,0.1758
0.01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.0231,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.0531,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.1225,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.2823,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.6507,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000

maj3x4 - fall_transition (ns)
Slew \ Load,0.0005,0.0013,0.0035,0.0094,0.0249,0.0662,0.1758
0.01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.0231,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.0531,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.1225,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.2823,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.6507,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
